"","Proveedor","TrafDate","RushHour","TrafIntNal","TrafNAPCo","TrafAcuer","TrafLocal","TrafTotal"
"1","AVANTEL","2020-03-30","22:00",0.02,7737.69,4481.94,0,200289.13
"2","AVANTEL","2020-03-31","23:00",0.03,7136.28,4313.14,0,198947.95
"3","AVANTEL","2020-04-01","22:00",0.05,7627.29,4523.16,0,200803.09
"4","AVANTEL","2020-04-02","22:00",0.03,7756.01,4517.24,0,205449.38
"5","AVANTEL","2020-04-03","22:00",0.02,7837.03,4770.37,0,212014.48
"6","AVANTEL","2020-04-04","22:00",0.01,8404.94,4202.47,0,210709.91
"7","AVANTEL","2020-04-05","22:00",0.01,8233.57,4116.79,0,208025.59
"8","AVANTEL","2020-04-06","22:00",0.02,7405.47,4628.42,0,200248.66
"9","AVANTEL","2020-04-07","22:00",0.02,7502.25,4425.49,0,199525.66
"10","AVANTEL","2020-04-08","22:00",0.02,7763.73,4424.02,0,201923.16
"11","AVANTEL","2020-04-09","22:00",0.02,8139.43,4283.91,0,201719.67
"12","AVANTEL","2020-04-10","22:00",0.02,8863.56,3460.11,0,203402.81
"13","AVANTEL","2020-04-11","22:00",0.01,8061.66,4436.05,0,202662.95
"14","AVANTEL","2020-04-12","22:00",0.01,7636.96,4655.69,0,204525.52
"15","AVANTEL","2020-04-13","22:00",0.01,7637.88,4728.21,0,203688.55
"16","AVANTEL","2020-04-14","22:00",0.02,7532.83,4379.55,0,198747.95
"17","AVANTEL","2020-04-15","22:00",0.03,7495.73,4332.79,0,196868.19
"18","AVANTEL","2020-04-16","22:00",0.04,7467,4291.38,0,196338.48
"19","AVANTEL","2020-04-17","22:00",0.02,7730.14,4456.2,0,199605.44
"20","AVANTEL","2020-04-18","22:00",0.04,8045.51,4522.88,0,204976.28
"21","AVANTEL","2020-04-19","22:00",0.03,7882.34,4283.88,0,202210.58
"22","AVANTEL","2020-04-20","22:00",0.03,7517.86,4134.82,0,194626.48
"23","AVANTEL","2020-04-21","22:00",0.03,7528.16,4295.48,0,195574.63
"24","AVANTEL","2020-04-22","22:00",0.04,7521.48,4145.36,0,198344.95
"25","AVANTEL","2020-04-23","22:00",0.07,7570.36,4313.35,0,199344.27
"26","AVANTEL","2020-04-24","22:00",0.04,7840.9,4506.26,0,203897.19
"27","AVANTEL","2020-04-25","22:00",0.04,8150.5,4405.68,0,204139.5
"28","AVANTEL","2020-04-26","22:00",0.03,7814.79,4379.72,0,203095.67
"29","AVANTEL","2020-04-27","22:00",0.03,7591.58,4254.62,0,196504.13
