NIT Proveedor;Proveedor; Fecha del día de tráfico;Hora Pico;Tráfico Datos  Internacional (GB);Tráfico Datos   NAPs - Colombia (GB);Tráfico Datos  Acuerdos de tránsito o peering directo (GB);Tráfico Datos  Local (GB);Tráfico Datos  Total (GB)
830016046;AVANTEL;30/03/2020;22:00;0,02;7737,69;4481,94;0,00;200289,13
830016046;AVANTEL;31/03/2020;23:00;0,03;7136,28;4313,14;0,00;198947,95
830016046;AVANTEL;01/04/2020;22:00;0,05;7627,29;4523,16;0,00;200803,09
830016046;AVANTEL;02/04/2020;22:00;0,03;7756,01;4517,24;0,00;205449,38
830016046;AVANTEL;03/04/2020;22:00;0,02;7837,03;4770,37;0,00;212014,48
830016046;AVANTEL;04/04/2020;22:00;0,01;8404,94;4202,47;0,00;210709,91
830016046;AVANTEL;05/04/2020;22:00;0,01;8233,57;4116,79;0,00;208025,59
830016046;AVANTEL;06/04/2020;22:00;0,02;7405,47;4628,42;0,00;200248,66
830016046;AVANTEL;07/04/2020;22:00;0,02;7502,25;4425,49;0,00;199525,66
830016046;AVANTEL;08/04/2020;22:00;0,02;7763,73;4424,02;0,00;201923,16
830016046;AVANTEL;09/04/2020;22:00;0,02;8139,43;4283,91;0,00;201719,67
830016046;AVANTEL;10/04/2020;22:00;0,02;8863,56;3460,11;0,00;203402,81
830016046;AVANTEL;11/04/2020;22:00;0,01;8061,66;4436,05;0,00;202662,95
830016046;AVANTEL;12/04/2020;22:00;0,01;7636,96;4655,69;0,00;204525,52
830016046;AVANTEL;13/04/2020;22:00;0,01;7637,88;4728,21;0,00;203688,55
830016046;AVANTEL;14/04/2020;22:00;0,02;7532,83;4379,55;0,00;198747,95
830016046;AVANTEL;15/04/2020;22:00;0,03;7495,73;4332,79;0,00;196868,19
830016046;AVANTEL;16/04/2020;22:00;0,04;7467,00;4291,38;0,00;196338,48
830016046;AVANTEL;17/04/2020;22:00;0,02;7730,14;4456,20;0,00;199605,44
830016046;AVANTEL;18/04/2020;22:00;0,04;8045,51;4522,88;0,00;204976,28
830016046;AVANTEL;19/04/2020;22:00;0,03;7882,34;4283,88;0,00;202210,58
830016046;AVANTEL;20/04/2020;22:00;0,03;7517,86;4134,82;0,00;194626,48
830016046;AVANTEL;21/04/2020;22:00;0,03;7528,16;4295,48;0,00;195574,63
830016046;AVANTEL;22/04/2020;22:00;0,04;7521,48;4145,36;0,00;198344,95
830016046;AVANTEL;23/04/2020;22:00;0,07;7570,36;4313,35;0,00;199344,27
830016046;AVANTEL;24/04/2020;22:00;0,04;7840,90;4506,26;0,00;203897,19
830016046;AVANTEL;25/04/2020;22:00;0,04;8150,50;4405,68;0,00;204139,50
